battery_id,archive,discharge_number,mat_cycle_index,capacity_ah,soh_vs_initial,soh_vs_2ah_rated,ambient_temp_c,mean_cell_temp_c,duration_s
B0007,1. BatteryAgingARC-FY08Q4.zip,0,1,1.89105229539079,1.0,0.945526147695395,24.0,32.62485875142121,3690.234
B0007,1. BatteryAgingARC-FY08Q4.zip,1,3,1.880637027686859,0.9944923428456648,0.9403185138434295,24.0,32.738209593287145,3672.344
B0007,1. BatteryAgingARC-FY08Q4.zip,2,5,1.8806626717011388,0.9945059035569906,0.9403313358505694,24.0,32.68511456550919,3651.641
B0007,1. BatteryAgingARC-FY08Q4.zip,3,7,1.8807709009833444,0.9945631358622364,0.9403854504916722,24.0,32.554748499572646,3631.563
B0007,1. BatteryAgingARC-FY08Q4.zip,4,9,1.8794508728285058,0.9938650969142624,0.9397254364142529,24.0,32.46787845303298,3629.172
B0007,1. BatteryAgingARC-FY08Q4.zip,5,11,1.8807003517117404,0.9945258289766596,0.9403501758558702,24.0,32.48624734055599,3652.281
B0007,1. BatteryAgingARC-FY08Q4.zip,6,13,1.8799352523566075,0.9941212397661985,0.9399676261783038,24.0,32.55779966353037,3650.828
B0007,1. BatteryAgingARC-FY08Q4.zip,7,15,1.8815088124038797,0.9949533479268811,0.9407544062019398,24.0,32.45374435641106,3572.453
B0007,1. BatteryAgingARC-FY08Q4.zip,8,17,1.8696907870385844,0.9887039039563995,0.9348453935192922,24.0,32.373246444985035,3550.594
B0007,1. BatteryAgingARC-FY08Q4.zip,9,19,1.870052380139199,0.9888951165957833,0.9350261900695995,24.0,32.30534276235138,3551.25
B0007,1. BatteryAgingARC-FY08Q4.zip,10,21,1.8700442394188577,0.9888908117331621,0.9350221197094288,24.0,32.183319483399806,3530.25
B0007,1. BatteryAgingARC-FY08Q4.zip,11,24,1.8596518987766364,0.9833952785490447,0.9298259493883182,24.0,32.378853181816005,3491.016
B0007,1. BatteryAgingARC-FY08Q4.zip,12,26,1.8590746560862206,0.9830900290898824,0.9295373280431103,24.0,32.2913249500013,3470.281
B0007,1. BatteryAgingARC-FY08Q4.zip,13,28,1.8590084577709232,0.9830550230165661,0.9295042288854616,24.0,32.14782797344657,3470.0
B0007,1. BatteryAgingARC-FY08Q4.zip,14,30,1.8593622586957048,0.9832421151057928,0.9296811293478524,24.0,32.01380948237792,3450.297
B0007,1. BatteryAgingARC-FY08Q4.zip,15,32,1.8587355450601035,0.9829107051087616,0.9293677725300518,24.0,31.881310103471357,3429.407
B0007,1. BatteryAgingARC-FY08Q4.zip,16,34,1.847817291322145,0.977137065868551,0.9239086456610724,24.0,31.854304304240515,3409.484
B0007,1. BatteryAgingARC-FY08Q4.zip,17,36,1.8485252916137047,0.9775114607455649,0.9242626458068524,24.0,31.856555404576753,3390.422
B0007,1. BatteryAgingARC-FY08Q4.zip,18,38,1.848378951850034,0.9774340753850292,0.924189475925017,24.0,31.867182607083926,3390.281
B0007,1. BatteryAgingARC-FY08Q4.zip,19,41,1.8807805437609766,0.9945682350219243,0.9403902718804883,24.0,32.35216872128999,3591.734
B0007,1. BatteryAgingARC-FY08Q4.zip,20,45,1.8814721597443598,0.9949339657767368,0.9407360798721799,24.0,32.60219299451182,3552.297
B0007,1. BatteryAgingARC-FY08Q4.zip,21,49,1.8810954313244785,0.994734749488113,0.9405477156622393,24.0,32.19571819720114,3531.578
B0007,1. BatteryAgingARC-FY08Q4.zip,22,53,1.8710089649779995,0.9894009644991608,0.9355044824889998,24.0,31.805988160181123,3492.907
B0007,1. BatteryAgingARC-FY08Q4.zip,23,57,1.8701995151941375,0.9889729225111973,0.9350997575970688,24.0,31.737001978644926,3511.594
B0007,1. BatteryAgingARC-FY08Q4.zip,24,61,1.8706715362800985,0.9892225301434724,0.9353357681400493,24.0,31.51707667966367,3431.9370000000054
B0007,1. BatteryAgingARC-FY08Q4.zip,25,65,1.8596124644020169,0.9833744254109715,0.9298062322010084,24.0,31.442860781038384,3431.125
B0007,1. BatteryAgingARC-FY08Q4.zip,26,69,1.860033909718346,0.9835972882674648,0.930016954859173,24.0,31.32326275303232,3412.406
B0007,1. BatteryAgingARC-FY08Q4.zip,27,73,1.8591653109160768,0.9831379679174215,0.9295826554580384,24.0,31.28571570579735,3410.688
B0007,1. BatteryAgingARC-FY08Q4.zip,28,77,1.8481398178778288,0.9773076198804469,0.9240699089389144,24.0,31.331850868998004,3410.718
B0007,1. BatteryAgingARC-FY08Q4.zip,29,81,1.849201702126164,0.9778691507545129,0.924600851063082,24.0,31.32285733932258,3392.719
B0007,1. BatteryAgingARC-FY08Q4.zip,30,85,1.8834677437950846,0.9959892428071969,0.9417338718975423,24.0,31.608436452122476,3470.672
B0007,1. BatteryAgingARC-FY08Q4.zip,31,89,1.8628211117905844,0.9850711777410832,0.9314105558952922,24.0,31.782101501165204,3414.109
B0007,1. BatteryAgingARC-FY08Q4.zip,32,93,1.852085039652352,0.9793938772431541,0.926042519826176,24.0,31.515041989202878,3395.219
B0007,1. BatteryAgingARC-FY08Q4.zip,33,97,1.8469504648208708,0.9766786827220949,0.9234752324104354,24.0,31.13866351339678,3386.0
B0007,1. BatteryAgingARC-FY08Q4.zip,34,101,1.836828431169018,0.9713260895248977,0.918414215584509,24.0,31.068710515588776,3368.187
B0007,1. BatteryAgingARC-FY08Q4.zip,35,105,1.8371619619672275,0.9715024626474299,0.9185809809836137,24.0,31.618244836823447,3368.266
B0007,1. BatteryAgingARC-FY08Q4.zip,36,109,1.8316722583718854,0.9685994738677316,0.9158361291859427,24.0,31.331528063668397,3358.719
B0007,1. BatteryAgingARC-FY08Q4.zip,37,113,1.8211470951317783,0.9630337032828774,0.9105735475658892,24.0,31.132569191182142,3339.5
B0007,1. BatteryAgingARC-FY08Q4.zip,38,117,1.816506091511515,0.960579512231908,0.9082530457557575,24.0,30.972969676157927,3331.265
B0007,1. BatteryAgingARC-FY08Q4.zip,39,121,1.8113815601504555,0.9578696287593303,0.9056907800752277,24.0,31.1990648511682,3321.188
B0007,1. BatteryAgingARC-FY08Q4.zip,40,125,1.8116056333939583,0.9579881200586186,0.9058028166969792,24.0,31.722267598269813,3321.844
B0007,1. BatteryAgingARC-FY08Q4.zip,41,129,1.8060548955557403,0.9550528559986308,0.9030274477778701,24.0,31.900827580605675,3311.828
B0007,1. BatteryAgingARC-FY08Q4.zip,42,133,1.8132041826994056,0.9588334426916011,0.9066020913497028,24.0,31.5372402498617,3327.391
B0007,1. BatteryAgingARC-FY08Q4.zip,43,135,1.8062641938283535,0.955163534203101,0.9031320969141767,24.0,31.24662583059252,3312.078
B0007,1. BatteryAgingARC-FY08Q4.zip,44,139,1.7958310249900458,0.9496464108196084,0.8979155124950229,24.0,30.939399361884792,3293.172
B0007,1. BatteryAgingARC-FY08Q4.zip,45,143,1.7858852600390451,0.9443870295876657,0.8929426300195226,24.0,30.884857004354572,3275.328
B0007,1. BatteryAgingARC-FY08Q4.zip,46,147,1.7803268604502753,0.9414477139472057,0.8901634302251377,24.0,30.920682316695828,3265.016
B0007,1. BatteryAgingARC-FY08Q4.zip,47,149,1.8150756899575577,0.959823107156573,0.9075378449787789,24.0,33.880577817079796,3328.937
B0007,1. BatteryAgingARC-FY08Q4.zip,48,153,1.8157025154845838,0.9601545763224729,0.9078512577422919,24.0,33.038339318294426,3329.266
B0007,1. BatteryAgingARC-FY08Q4.zip,49,157,1.8002432178056673,0.9519796053200333,0.9001216089028337,24.0,32.27329169539202,3301.579
B0007,1. BatteryAgingARC-FY08Q4.zip,50,161,1.7904476205609308,0.9467996336880419,0.8952238102804654,24.0,31.937919783481355,3283.563
B0007,1. BatteryAgingARC-FY08Q4.zip,51,165,1.780343032300132,0.9414562657201504,0.890171516150066,24.0,31.688686599521045,3275.125
B0007,1. BatteryAgingARC-FY08Q4.zip,52,169,1.775328769596812,0.9388046929870528,0.887664384798406,24.0,31.779120691032947,3265.656
B0007,1. BatteryAgingARC-FY08Q4.zip,53,173,1.7702629734732853,0.9361258690667021,0.8851314867366427,24.0,32.133873372089305,3266.093
B0007,1. BatteryAgingARC-FY08Q4.zip,54,177,1.760081061854204,0.9307416120348377,0.880040530927102,24.0,31.889431533099835,3257.594
B0007,1. BatteryAgingARC-FY08Q4.zip,55,181,1.749647593537689,0.9252243302854406,0.8748237967688445,24.0,31.81736328028127,3248.593
B0007,1. BatteryAgingARC-FY08Q4.zip,56,185,1.749650075059311,0.9252256425292258,0.8748250375296555,24.0,31.72316205746117,3238.766
B0007,1. BatteryAgingARC-FY08Q4.zip,57,189,1.745028739214683,0.9227818519180979,0.8725143696073415,24.0,31.957150654392294,3240.14
B0007,1. BatteryAgingARC-FY08Q4.zip,58,193,1.7396457455286727,0.9199352919899929,0.8698228727643363,24.0,32.29917704213345,3230.109
B0007,1. BatteryAgingARC-FY08Q4.zip,59,197,1.7285642277717963,0.9140753177397375,0.8642821138858982,24.0,32.128842946565555,3229.7810000000027
B0007,1. BatteryAgingARC-FY08Q4.zip,60,201,1.723900324588418,0.9116090172599749,0.861950162294209,24.0,32.021134355757404,3212.469
B0007,1. BatteryAgingARC-FY08Q4.zip,61,205,1.7139788776485192,0.9063624955407813,0.8569894388242596,24.0,31.859048861486652,3213.219
B0007,1. BatteryAgingARC-FY08Q4.zip,62,209,1.7139701997004613,0.9063579065888634,0.8569850998502306,24.0,32.16100333536097,3203.578
B0007,1. BatteryAgingARC-FY08Q4.zip,63,213,1.7036521173638766,0.9009016416501656,0.8518260586819383,24.0,32.10276048728767,3195.125
B0007,1. BatteryAgingARC-FY08Q4.zip,64,215,1.7040137474382486,0.9010928738414982,0.8520068737191243,24.0,32.33880662180898,3195.3129999999946
B0007,1. BatteryAgingARC-FY08Q4.zip,65,219,1.6935716157343033,0.8955710108399318,0.8467858078671516,24.0,32.21373014824893,3186.297
B0007,1. BatteryAgingARC-FY08Q4.zip,66,223,1.6876577363877656,0.8924437153331117,0.8438288681938828,24.0,32.09949526722965,3176.438
B0007,1. BatteryAgingARC-FY08Q4.zip,67,227,1.6830744356583152,0.8900200379231206,0.8415372178291576,24.0,32.11305439113157,3167.593
B0007,1. BatteryAgingARC-FY08Q4.zip,68,231,1.6779270142025482,0.8872980500287017,0.8389635071012741,24.0,32.20371989479744,3167.719
B0007,1. BatteryAgingARC-FY08Q4.zip,69,235,1.6732060275966172,0.884801563486559,0.8366030137983086,24.0,32.23340825772458,3159.077999999994
B0007,1. BatteryAgingARC-FY08Q4.zip,70,239,1.6674367208253988,0.8817507188402843,0.8337183604126994,24.0,32.212169716369466,3148.829
B0007,1. BatteryAgingARC-FY08Q4.zip,71,243,1.6622662630667526,0.8790165492082501,0.8311331315333763,24.0,32.21746401954225,3149.094
B0007,1. BatteryAgingARC-FY08Q4.zip,72,247,1.6574243065763063,0.87645609305257,0.8287121532881532,24.0,32.23410177209762,3140.547
B0007,1. BatteryAgingARC-FY08Q4.zip,73,251,1.652538684928734,0.8738725464951953,0.826269342464367,24.0,32.228343983674435,3131.625
B0007,1. BatteryAgingARC-FY08Q4.zip,74,255,1.6472174627573322,0.8710586517211737,0.8236087313786661,24.0,32.1833106060944,3121.907
B0007,1. BatteryAgingARC-FY08Q4.zip,75,259,1.6364136810898071,0.8653455460107404,0.8182068405449036,24.0,32.17200142078129,3122.125
B0007,1. BatteryAgingARC-FY08Q4.zip,76,263,1.6362554312048496,0.8652618625053486,0.8181277156024248,24.0,32.03316223587618,3121.672
B0007,1. BatteryAgingARC-FY08Q4.zip,77,265,1.641119179218384,0.8678338421514901,0.820559589609192,24.0,32.506671891788216,3120.86
B0007,1. BatteryAgingARC-FY08Q4.zip,78,269,1.6315700789656966,0.8627842196339309,0.8157850394828483,24.0,31.961039485620926,3103.828
B0007,1. BatteryAgingARC-FY08Q4.zip,79,273,1.621213282987236,0.8573074826850354,0.810606641493618,24.0,31.798082670491866,3095.094
B0007,1. BatteryAgingARC-FY08Q4.zip,80,277,1.6164273214762122,0.8547766370163623,0.8082136607381061,24.0,31.95802833708937,3095.781
